State,2015_No_of_colonies,2016_No_of_colonies,2017_No_of_colonies,2018_No_of_colonies,All_years_colonies,2015_Lost,2016_Lost,2017_Lost,2018_Lost,All_years_lost,2015_Per_lost,2016_Per_lost,2017_Per_lost,All_2018_Per_lost,All_years_per_lost,2015_Added,2016_Added,2017_Added,2018_Added,All_years_added,2015_Reno,2016_Reno,2017_Reno,2018_Reno,All_years_reno,2015_Per_reno,2016_Per_reno,2017_Per_reno,All_2018_Per_renovated,All_years_Per_reno
North Dakota,868000,1094000,1045000,136000,3143000,157620,150500,90640,14200,412960,9.75,8.75,5.25,3,6.6875,54500,66100,66100,32600,219300,92530,201500,143910,46010,483950,5.25,9.5,7.5,5.5,6.9375
Ohio,77500,71000,70500,23000,242000,16900,8300,10100,5100,40400,20,11.75,13.75,18.5,16,17500,7760,9910,9300,44470,10320,1920,5790,2380,20410,13,2.75,8.25,9,8.25
Oklahoma,59000,32300,51100,32500,174900,9080,6870,1360,5300,22610,9.75,11.75,3.75,15.5,10.1875,8550,8950,14320,9890,41710,2710,10630,3170,6740,23250,2.75,20.5,5,21.5,12.4375
Oregon,327000,350000,330000,122000,1129000,29000,24200,36500,7500,97200,7.75,5.25,9.5,4,6.625,27000,27200,30570,40000,124770,34300,22600,69900,27900,154700,8.75,4.5,18.5,13.5,11.3125
Pennsylvania,76500,63500,75000,30000,245000,12400,8600,11540,2600,35140,14.25,13.25,14,8,12.375,11960,7780,16810,7600,44150,11500,2230,5390,2270,21390,13,3.5,7.25,6.5,7.5625
South Carolina,56500,54000,64000,27500,202000,7850,7020,6170,3100,24140,12.5,11.5,9.5,10.5,11,5320,7150,9640,4300,26410,4980,1210,5860,6800,18850,7.5,2.333333333,8.25,24,10.52083333
South Dakota,639000,422000,314000,33500,1408500,87600,57500,38700,12390,196190,8.5,10,7.5,4,7.5,40000,20800,17500,21250,99550,38800,24900,30940,65090,159730,3.75,3.5,5,20,8.0625
Tennessee,35500,36000,35500,18000,125000,5030,4070,5900,4200,19200,13.5,11.25,15.5,22.5,15.6875,5170,4540,5130,3800,18640,1880,570,2940,1770,7160,5.5,1.75,8,10.5,6.4375
Texas,697000,845000,851000,510000,2903000,100500,117000,112000,53000,382500,10.75,10,10.5,9,10.0625,176500,214700,197200,218000,806400,151800,104460,225400,111000,592660,13.75,7.75,17.5,18,14.25
Utah,89000,83500,101000,22000,295500,16600,11500,13900,2320,44320,14,11.75,12.25,5.5,10.875,14020,15040,22380,10490,61930,6490,7220,13330,4150,31190,5.25,9.333333333,10.25,8,8.208333333
Vermont,24000,23500,26500,11000,85000,1780,1090,1260,1090,5220,7.75,5.666666667,4.5,9,6.729166667,1820,670,920,2620,6030,100,90,470,140,800,0.25,0.333333333,1.5,1,0.770833333
Virginia,31000,27500,37500,12000,108000,4200,2870,4700,2590,14360,12.75,10.25,12.75,19.5,13.8125,3420,3450,5730,2940,15540,1460,920,2020,860,5260,4.75,3.25,5.5,7.5,5.25
Washington,328000,290000,291000,99000,1008000,37000,33500,37000,11100,118600,9,7.25,9.75,5,7.75,30630,37100,46900,26000,140630,42170,14830,44500,19760,121260,10,3,12,8,8.25
West Virginia,23400,28500,30500,11700,94100,3280,3880,3300,2490,12950,13.75,12.75,9.75,15.5,12.9375,3960,2810,5060,2430,14260,1060,440,6100,610,8210,5,1.5,18.5,4.5,7.375
Wisconsin,149500,168500,160000,45000,523000,28100,28100,29400,10600,96200,16,12.75,14.5,14,14.3125,14610,18920,19980,15300,68810,12310,4260,18570,8160,43300,6.25,1.5,6.75,9,5.875
Wyoming,70500,66200,84500,14000,235200,9000,12140,13900,2420,37460,10.5,10.25,13,6.5,10.0625,9800,9790,12900,3170,35660,6840,1580,7320,2300,18040,8.25,1.25,5.75,5,5.0625
United States Totals,11681750,11601100,11153500,5315900,39752250,1722360,1641090,1500780,693090,5557320,14.75,11.14814815,11.66111111,11.64444444,11.62175926,1498980,1645740,1578950,1236550,5960220,1425240,1148040,1665420,1002890,5241590,12.5,5.072222222,8.868518519,10.44444444,7.921296296
United States Averages,258804.4444,257802.2222,247855.5556,118131.1111,882593.3333,38129.11111,36468.66667,33350.66667,15402,123350.4444,14.75,11.14814815,11.66111111,11.64444444,11.62175926,33173.77778,36572,35087.77778,27478.88889,132312.4444,31608.44444,25512,37009.33333,22286.44444,116416.2222,12.5,5.072222222,8.868518519,10.44444444,7.921296296
