State,"Winter_2017
Lost","Spring_2017
Lost","Summer_2017
Lost","Fall_2017
Lost",Total
Alabama,1600,440,900,990,3930
Arizona,6000,2600,4100,6500,19200
Arkansas,3500,1900,6000,7500,18900
California,195000,90000,67000,155000,507000
Colorado,1100,4500,4300,7000,16900
Connecticut,380,140,130,330,980
Florida,30000,35000,39000,50000,154000
Georgia,14000,12500,15500,21000,63000
Hawaii,190,70,1100,130,1490
Idaho,8500,10500,12000,9000,40000
Illinois,2900,1200,1100,1800,7000
Indiana,1900,1200,930,1700,5730
Iowa,3000,2400,2200,6500,14100
Kansas,1000,390,1700,830,3920
Kentucky,1300,900,1600,870,4670
Louisiana,2700,2600,13500,2700,21500
Maine,1000,910,400,60,2370
Maryland,2100,190,1600,1300,5190
Massachusetts,1500,140,760,1100,3500
Michigan,5000,7500,17500,11500,41500
Minnesota,3500,12000,20000,7000,42500
Mississippi,2600,3800,2900,3400,12700
Missouri,1200,270,580,820,2870
Montana,470,3700,18500,13000,35670
Nebraska,750,1500,3700,7500,13450
New Jersey,490,430,420,1200,2540
New Mexico,2100,1800,2500,1900,8300
New York,6000,1300,6500,3900,17700
North Carolina,2500,3000,3300,5000,13800
North Dakota,640,16000,48000,26000,90640
Ohio,4400,1100,1800,2800,10100
Oklahoma,550,200,510,100,1360
Oregon,8000,5000,13500,10000,36500
Pennsylvania,4000,540,1500,5500,11540
South Carolina,1600,870,1700,2000,6170
South Dakota,2700,13000,16500,6500,38700
Tennessee,1600,1300,1700,1300,5900
Texas,49000,28000,15000,20000,112000
Utah,2700,2700,6500,2000,13900
Vermont,440,170,180,470,1260
Virginia,1400,1000,1200,1100,4700
Washington,9000,7000,17000,4000,37000
West Virginia,800,370,930,1200,3300
Wisconsin,4400,4000,12500,8500,29400
Wyoming,3600,1300,5500,3500,13900
