State,"Winter_2015
No_of_colonies","Spring_2015
No_of_colonies","Summer_2015
No_of_colonies","Fall_2015
No_of_colonies",2015_No_of_colonies,"Winter_2015
Lost","Spring_2015
Lost","Summer_2015
Lost","Fall_2015
Lost",2015_Lost,"Winter_2015
Per_lost","Spring_2015
Per_lost","Summer_2015
Per_lost","Fall_2015
Per_lost",2015_Per_lost,"Winter_2015
Added","Spring_2015
Added","Summer_2015
Added","Fall_2015
Added",2015_Added,"Winter_2015
Renovated","Spring_2015
Renovated","Summer_2015
Renovated","Fall_2015
Renovated",2015_Reno,"Winter_2015
Per_renovated","Spring_2015
Per_renovated","Summer_2015
Per_renovated","Fall_2015
Per_renovated",2015_Per_reno
South Carolina,17000,17500,12000,10000,56500,2700,950,2000,2200,7850,15,5,17,13,12.5,2700,1100,880,640,5320,1400,2000,580,1000,4980,8,11,5,6,7.5
South Dakota,50000,100000,295000,194000,639000,4600,21000,53000,9000,87600,5,7,18,4,8.5,8500,27000,2100,2400,40000,2800,23000,13000,0,38800,3,8,4,0,3.75
Tennessee,9500,7500,10000,8500,35500,2000,730,1200,1100,5030,21,10,12,11,13.5,1000,3600,500,70,5170,190,920,350,420,1880,2,12,4,4,5.5
Texas,191000,305000,76000,125000,697000,26000,33000,16500,25000,100500,10,11,12,10,10.75,82000,76000,5500,13000,176500,51000,94000,4800,2000,151800,20,30,4,1,13.75
Utah,6000,24000,31000,28000,89000,3300,3400,8000,1900,16600,14,13,22,7,14,2500,10000,1400,120,14020,290,3900,2200,100,6490,1,14,6,0,5.25
Vermont,5500,6000,6000,6500,24000,700,100,40,940,1780,13,2,1,15,7.75,1200,580,30,10,1820,20,50,20,10,100,0,1,0,0,0.25
Virginia,8000,7500,8000,7500,31000,2500,270,680,750,4200,28,4,9,10,12.75,800,2100,520,0,3420,460,430,220,350,1460,5,6,3,5,4.75
Washington,52000,105000,84000,87000,328000,14000,5000,11500,6500,37000,13,4,12,7,9,13500,15000,1800,330,30630,9000,13000,20000,170,42170,9,10,21,0,10
West Virginia,4700,4700,7000,7000,23400,1800,570,300,610,3280,30,12,4,9,13.75,570,2900,300,190,3960,60,590,270,140,1060,1,13,4,2,5
Wisconsin,16500,25000,60000,48000,149500,8000,4600,9000,6500,28100,28,7,15,14,16,3100,10000,1300,210,14610,2500,5500,4300,10,12310,9,9,7,0,6.25
Wyoming,5500,12000,29000,24000,70500,2000,3200,2500,1300,9000,17,13,7,5,10.5,2000,7500,270,30,9800,1400,5000,440,0,6840,12,20,1,0,8.25
United States,2824610,2849500,3132880,2874760,11681750,500020,352860,457100,412380,1722360,18,12,15,14,14.75,546980,661860,172990,117150,1498980,270530,692850,303070,158790,1425240,10,24,10,6,12.5
