,State,Jan_March_Lost,April_June_Lost,July_Sep_Lost,Oct_Dec_Lost
0,Alabama,1700,930,1200,610
1,Arizona,4700,3700,6000,6500
2,Arkansas,5000,3400,1500,2500
3,California,200000,108000,82000,205000
4,Colorado,750,1800,6500,4500
5,Connecticut,270,100,270,240
6,Florida,40000,29000,25000,41000
7,Georgia,f,11000,13000,11000
8,Hawaii,280,830,600,970
9,Idaho,8500,6000,13000,15500
10,Illinois,1400,740,1300,720
11,Indiana,770,220,600,1200
12,Iowa,2900,2400,5500,4700
13,Kansas,1100,960,2600,1300
14,Kentucky,1300,450,1000,950
15,Louisiana,11000,4300,7000,2000
16,Maine,170,4200,420,280
17,Maryland,820,320,200,500
18,Massachusetts,370,300,530,740
19,Michigan,5000,7500,15000,12500
20,Minnesota,5500,13000,26000,13500
21,Mississippi,7500,3700,3300,2400
22,Missouri,1300,770,650,590
23,Montana,900,7000,11500,16000
24,Nebraska,720,6000,8500,4300
25,New Jersey,1000,1500,270,340
26,New Mexico,1700,1400,1100,1600
27,New York,4200,4000,10000,9000
28,North Carolina,2600,1600,1400,5500
29,North Dakota,8500,27000,71000,44000
30,Ohio,2900,1700,1600,2100
31,Oklahoma,3300,310,560,2700
32,Oregon,2900,4300,7500,9500
33,Pennsylvania,2900,1300,1300,3100
34,South Carolina,3500,1300,920,1300
35,South Dakota,10500,11000,25000,11000
36,Tennessee,1700,580,950,840
37,Texas,30000,36000,12000,39000
38,Utah,1900,4800,3200,1600
39,Vermont,410,20,400,260
40,Virginia,1100,230,810,730
41,Washington,13500,6000,5000,9000
42,West Virginia,1700,990,190,1000
43,Wisconsin,3100,5500,12000,7500
44,Wyoming,340,2600,7000,2200
