State,2015_No_of_colonies,2016_No_of_colonies,2017_No_of_colonies,2018_No_of_colonies,All_years_colonies,2015_Lost,2016_Lost,2017_Lost,2018_Lost,All_years_lost,2015_Per_lost,2016_Per_lost,2017_Per_lost,2018_Per_lost,All_years_lost,2015_Added,2016_Added,2017_Added,2018_Added,All_years_added,2015_Reno,2016_Reno,2017_Reno,2018_Reno,All_years_reno,2015_Per_reno,2016_Per_reno,2017_Per_reno,2018_Per_reno,All_years_Per_reno
South Carolina,56500,54000,64000,27500,202000,7850,7020,6170,3100,24140,50,46,38,21,155,5320,7150,9640,4300,26410,4980,1210,5860,6800,18850,30,7,33,48,118
South Dakota,639000,422000,314000,33500,1408500,87600,57500,38700,12390,196190,34,40,30,8,112,40000,20800,17500,21250,99550,38800,24900,30940,65090,159730,15,14,20,40,89
Tennessee,35500,36000,35500,18000,125000,5030,4070,5900,4200,19200,54,45,62,45,206,5170,4540,5130,3800,18640,1880,570,2940,1770,7160,22,7,32,21,82
Texas,697000,845000,851000,510000,2903000,100500,117000,112000,53000,382500,43,40,42,18,143,176500,214700,197200,218000,806400,151800,104460,225400,111000,592660,55,31,70,36,192
Utah,89000,83500,101000,22000,295500,16600,11500,13900,2320,44320,56,47,49,11,163,14020,15040,22380,10490,61930,6490,7220,13330,4150,31190,21,28,41,16,106
Vermont,24000,23500,26500,11000,85000,1780,1090,1260,1090,5220,31,17,18,18,84,1820,670,920,2620,6030,100,90,470,140,800,1,1,6,2,10
Virginia,31000,27500,37500,12000,108000,4200,2870,4700,2590,14360,51,41,51,39,182,3420,3450,5730,2940,15540,1460,920,2020,860,5260,19,13,22,15,69
Washington,328000,290000,291000,99000,1008000,37000,33500,37000,11100,118600,36,29,39,10,114,30630,37100,46900,26000,140630,42170,14830,44500,19760,121260,40,12,48,16,116
West Virginia,23400,28500,30500,11700,94100,3280,3880,3300,2490,12950,55,51,39,31,176,3960,2810,5060,2430,14260,1060,440,6100,610,8210,20,6,74,9,109
Wisconsin,149500,168500,160000,45000,523000,28100,28100,29400,10600,96200,64,51,58,28,201,14610,18920,19980,15300,68810,12310,4260,18570,8160,43300,25,6,27,18,76
Wyoming,70500,66200,84500,14000,235200,9000,12140,13900,2420,37460,42,41,52,13,148,9800,9790,12900,3170,35660,6840,1580,7320,2300,18040,33,5,23,10,71
United States,11681750,11601100,11153500,5315900,39752250,1722360,1641090,1500780,693090,5557320,59,2001,2099,1048,5207,1498980,1645740,1578950,1236550,5960220,1425240,1148040,1665420,1002890,5241590,50,887,1593,940,3470
